A_A,B_A,C_A,D_A,E_A,F_A,G_A,H_A,I_A,A_B,B_B,C_B,D_B,E_B,F_B,G_B,H_B,I_B,A_C,B_C,C_C,D_C,E_C,F_C,G_C,H_C,I_C,A_D,B_D,C_D,D_D,E_D,F_D,G_D,H_D,I_D
89596,90218,87570,42361,59468,8834,18782,76866,54568,48803,57139,65536,31068,8474,19889,99932,25833,80897,24536,66720,41993,50348,18959,32530,52189,97450,73569,65629,93116,76537,17261,63568,97830,86252,55975,36421
62997,73870,99637,32806,12140,12853,39147,54587,70292,88219,67072,30941,79526,83273,59442,34758,84077,24098,27488,30961,26022,19940,61554,44141,64893,40701,73589,72216,33266,7689,86532,79382,9085,37617,57556,99871
49714,40646,54550,62969,21304,73617,93471,93969,93468,45224,61162,36770,86569,45622,95137,74835,3973,31977,21972,13133,48531,26344,83478,41492,60954,71301,13606,81303,73933,82470,1991,90134,91755,98870,94641,91563
49784,64547,87495,63299,65795,29001,80936,41679,94779,10971,33791,53494,3554,1794,5724,83161,47191,60431,2144,627,71989,84703,66321,7697,38906,35737,65894,97846,46513,94141,52542,84912,26346,58580,64877,63224
31275,7951,45951,45910,78371,10043,81552,83082,57791,74328,87524,66278,30112,96310,2069,75425,22015,95415,83418,90083,982,95738,54610,70333,18632,11889,55131,34337,794,8620,74177,96365,6336,56358,16669,13960
68203,1382,61798,94611,24760,85109,2792,525,1797,67733,32517,73602,72093,43907,9747,32746,53242,8364,61079,98877,55434,56776,88370,15015,84264,59994,79024,27737,993,60218,45864,40079,80545,35790,33299,16164
35350,4586,80896,18925,16575,65162,42039,65698,68810,45011,34348,35311,72823,76760,70034,32290,44496,18798,37492,24584,84844,71601,47463,17443,66085,22605,78492,24448,37459,86219,19049,8664,30219,23969,18735,58561
59709,17253,33774,52374,89460,64450,85643,35376,88864,9897,90309,4916,62371,79564,16564,96341,4213,73087,3820,59040,22328,64504,91475,77705,59969,96209,14391,50283,1386,7974,38276,90224,49757,4202,39133,22865
66748,25507,84028,14931,76349,82381,89267,93190,78976,61444,94461,84377,12261,76480,74176,18562,99620,21402,13587,60926,46597,26042,76034,95801,23532,54558,77468,4134,25477,21545,51774,99009,54748,20155,565,92629
16546,575,1235,54752,20866,51714,69570,12692,60152,48394,61599,88656,49783,10058,16210,53172,18076,80248,73034,74778,11279,9238,58089,70810,88537,91500,86786,71421,5568,33695,78014,94609,47028,29604,88083,64416
54808,91928,75,85569,3555,74794,93469,32787,47926,17375,88806,84788,77168,93078,39934,50410,65767,69003,22061,64381,11720,34191,9278,9517,95758,18174,51707,32392,11262,84611,5211,58924,1247,24761,68745,13605
15240,43545,50815,3541,13402,74866,51872,82655,97671,49572,7490,63347,73732,56191,82125,51513,16154,1395,88414,49138,48390,35195,26722,59679,60587,52947,37389,74812,3049,37552,44771,7871,98266,92144,29827,2185
21474,58650,70989,52475,31792,82256,16786,67717,50606,41091,65254,4701,3489,11957,17662,463,84422,7535,2183,14611,99573,51189,47936,96475,38518,50335,61559,52465,87646,14503,10553,86250,34628,52060,53822,23288
94166,67311,33496,62412,62545,22971,50862,695,64319,69402,47756,62298,53277,52406,45867,22868,75561,93193,12983,83603,87643,6417,4381,55187,44937,32613,76369,32002,71600,66033,70708,19905,24101,35644,43638,77192
92702,48776,99897,51817,17678,13464,5108,25438,24439,17901,29179,86050,22573,91431,10848,63612,97395,85106,86634,64723,30857,88439,89260,43766,62459,93295,26074,44703,52357,75606,3149,21260,62238,65351,71995,11540
84461,28567,30557,64185,3429,40956,9435,83848,76409,28437,1274,34111,62065,2056,88884,21307,46419,45332,27197,38797,58212,19468,70126,14883,32721,41429,7900,9262,48837,53616,13479,29785,2045,67212,97939,92686
63609,76015,14243,47745,79459,90691,62381,9358,48807,91810,73079,60306,23855,23585,71872,37293,84612,37525,13173,30526,19006,95878,13980,22697,12596,99081,28511,77728,67912,17692,60275,56142,86362,93791,41190,99106
65189,15044,53315,70832,24853,37818,88107,30602,95180,70979,6370,73037,50133,83487,2475,70708,19332,18431,56615,38058,93204,40386,16932,16350,59155,74493,92384,9690,73877,49087,10420,2128,1065,9874,73132,63846
56333,26460,40450,49181,16975,46596,94484,31118,22156,56255,20191,31282,70246,99253,53572,25107,89986,87261,60640,3428,28873,90714,38683,79674,81553,4566,87882,34182,46761,31791,68959,16885,91131,16188,90412,37719
94562,84866,20573,23160,25696,74825,40327,98567,9129,73723,77454,53259,61631,38288,9960,85684,4111,96914,18889,89231,86899,46059,96800,85018,13072,19374,5534,97257,42188,45707,759,62310,38039,66927,25618,53760
93904,40291,92236,30387,69679,63154,39645,82294,27732,85041,92,3534,97804,98582,74087,9759,19248,46310,21358,47935,52343,91974,18590,31520,51769,32737,25427,78994,47060,42803,94010,48031,5402,65399,96190,950
18970,80883,14290,56128,67997,79045,92782,93925,66995,72827,13441,8037,93681,26626,20993,43286,30243,79699,78935,35632,98240,46571,95044,17709,70644,37424,47766,67594,56442,1680,88123,59755,14083,93085,17662,10977
83012,27351,72968,57816,28715,80987,78496,92569,94162,61090,50146,57192,39549,85458,80062,38960,14424,25619,77262,28312,51751,42769,91746,58230,99922,46783,11358,11869,57095,86447,38967,58755,14577,66631,9381,26500
60419,83507,57105,72359,39998,97081,38874,51724,79044,41931,46164,10277,81097,83288,96235,21229,50758,30247,50036,7999,84778,6517,72464,29503,52797,85495,24020,22008,13479,18025,95744,8093,17510,26765,76085,98046
52327,19684,55661,69319,95774,34294,88444,38677,60348,1761,83035,69367,60139,15601,64709,3329,29725,13883,87045,26664,52431,1398,17296,86201,46787,72080,269,36641,43989,91745,91669,73452,85647,31830,93182,75611
60132,60942,28836,39732,76655,34359,41898,62313,41530,38205,59904,42506,41570,20791,16257,3934,61791,540,74308,43003,6273,51856,47513,29908,30100,70188,89215,39513,68176,98900,72634,17107,39307,42514,3650,60410
4443,94301,55742,24518,91118,74533,28108,51208,66430,25521,82955,95123,59477,80734,76971,81377,79042,13938,31938,49871,65178,85528,84878,90961,35665,36887,13574,50086,85820,81761,60699,72551,95521,9568,75581,3125
90034,4408,84926,60226,14608,22322,83994,65163,29561,7167,43535,44227,56036,13641,20175,2687,60335,67122,20266,25703,36772,89194,68403,66305,48933,31088,9886,56507,99817,63446,47555,26848,6106,28659,17689,90843
41735,19958,8911,49741,17391,37068,23178,62265,67624,23354,48452,31653,68620,65682,34172,75736,61491,62586,82176,57211,22691,39748,10367,19206,36196,22898,78743,36808,10306,45744,10684,94553,73065,65282,86180,93756
91842,25430,89557,54373,1622,13547,78502,22253,14766,25796,20599,46601,80809,65970,45639,61901,22757,82278,73678,10563,87381,73964,77988,36940,81495,62844,32806,17365,9764,80310,74735,72760,75832,39649,13454,9077
32248,994,20329,53119,98337,8111,4004,53288,45904,19609,15746,49383,43847,52946,46303,66810,73213,29069,48100,29827,94806,95611,24070,74725,7164,6906,53206,36268,83362,10361,40265,73320,40488,10497,37147,52596
80776,45116,83441,9373,42165,45282,95699,75536,68079,65162,10630,31233,76713,88989,94335,60206,34142,94963,78218,37923,52828,342,86411,99955,11374,39466,45835,34698,56219,84410,2267,25873,7273,41887,6686,71586
39619,95137,74756,3468,67606,80819,98056,61253,634,43210,9014,35555,10697,20616,17104,63777,46678,88231,58183,94317,8735,35711,87592,57838,10292,41796,49601,15908,55202,12048,55689,32933,35226,42675,3305,72473
95710,27717,29221,72331,70020,87109,73824,33901,85891,71251,16553,10924,17281,37397,3713,12626,36522,66632,28996,28131,27552,75168,95715,73741,7869,40244,14302,51243,76578,18440,15498,11366,10306,4383,38083,38081
45545,94779,11484,47101,2239,22961,58444,32430,7722,70174,64503,17415,77351,43931,9249,72024,21198,31821,31843,12966,638,17884,58560,54084,58524,1760,74016,18187,33052,30255,4035,56767,52753,46547,40386,69928
89060,10038,7990,72553,90284,97636,77144,83021,51473,24543,87923,72590,53803,22179,64177,44156,66426,51483,95629,64088,67662,7518,60643,7275,53034,75162,28596,50876,48353,42303,61298,63390,20480,47110,67427,2331
27574,78785,65744,19828,44685,59321,78263,65590,16439,56335,97443,71724,31339,97913,17793,40783,76043,6778,71142,63255,32948,37150,91719,80223,93217,20841,81491,52546,79731,75651,12037,6035,51871,28427,69211,10680
71899,34035,88254,38643,74962,68178,42690,83359,75229,56937,16553,87279,56010,87953,26787,98529,40276,49582,10123,60709,98743,61302,18473,20160,41411,59914,53106,84901,21268,45915,89267,36775,72646,62946,41164,30514
24046,15038,48731,35685,14292,96564,34508,89505,77274,39,47721,25779,91998,8252,36251,2866,9999,52650,83850,80570,9231,81915,56623,17376,15712,35131,73168,79922,64630,65349,16188,32640,73415,55909,25813,8158
40025,27806,56876,49136,1649,59089,93829,55706,71231,77330,87615,67794,71832,72745,57111,12501,14730,37511,43449,58454,77058,29418,49622,26535,15718,44875,50303,34832,26471,81557,78443,35522,71420,38050,54824,43352
50211,89484,52227,11219,78206,52534,21700,28117,73134,98612,13924,89929,76100,11455,94782,35062,68571,24176,2518,71885,55074,48594,49848,4371,71940,51240,27937,76076,46756,22198,48693,87482,9106,97189,664,39200
62071,13538,97589,7656,24336,68589,65739,56447,58589,60581,64106,65608,87837,88159,62530,48795,25420,97816,76649,42435,91922,48618,33128,68934,3779,2889,42203,78944,77059,44488,73474,86733,10114,53205,85957,80136
24259,85569,68109,46306,94324,82597,61048,44643,37794,59005,28395,77219,9493,55575,8329,9139,80517,72320,5889,31017,32225,70213,80245,52641,55997,49309,18040,27841,64506,79036,69027,60934,12688,69387,16715,86992
83553,88905,68823,75610,9971,24544,70097,38455,89731,30063,55700,99219,50624,20057,82571,18829,65884,1511,5972,87094,97284,1112,15311,58237,65497,34942,85247,95589,67202,9424,57133,3115,76081,4083,13724,72650
37136,40214,34952,76431,42838,50353,4008,82344,70899,80713,26054,80470,89027,85699,83774,83034,5772,8465,52654,15054,19832,66090,79939,44425,73900,34342,5627,4297,74421,15449,67512,45349,20298,54382,81273,57801
49897,60141,40904,1793,40663,33366,52299,10014,75668,75760,70045,21991,36724,71684,14825,37960,98665,6814,25870,77825,92057,28933,83282,87440,64644,39353,88314,5085,31131,58033,43918,53167,5208,82277,26217,4202
32101,41695,13976,58486,89259,54996,25887,64728,70433,19313,51607,54462,37488,8198,62551,95223,3135,49070,70169,77257,60362,99890,52907,14949,14336,94963,16499,73780,82648,12729,26254,56621,98205,7263,55459,58823
25042,54679,33880,61269,11313,34361,61028,48119,81171,80005,80985,92792,22131,44500,12034,87903,51189,59351,35855,35660,51902,62959,49608,70408,1529,23008,2327,20514,55129,18723,96548,87985,33411,67470,38097,34831
58065,14393,50158,60532,22757,18328,32121,31377,46072,25958,45013,3488,808,8301,89399,21292,85694,58998,61473,78612,87185,96795,18958,69543,7268,11256,64636,3655,73539,74698,37394,67807,19302,13517,94095,12750
76406,15285,87305,25215,73989,78234,32734,37312,19940,9360,76176,92190,50639,71082,57008,3637,2293,95216,7847,96486,30151,57468,70029,66602,4558,26208,78810,41293,31012,59853,64624,42446,92073,70157,67259,77663
82734,52312,69636,77199,69244,55458,41016,16380,10330,98332,74190,44673,64307,11689,55969,87692,56234,2622,85943,14486,12207,66843,80009,50241,63070,26798,43744,2379,1660,11233,24523,37223,27942,2014,75430,24434
7485,24635,78458,60095,59031,58971,23953,63518,55409,97541,40069,38649,37020,64600,85656,47353,82883,40449,6689,58394,31235,84972,56356,86978,88954,12047,66371,16052,7321,19653,67830,68517,5043,84985,18932,30023
70223,91195,29764,34019,49711,11058,1641,48719,66409,18597,65719,59691,97657,76487,88713,11018,79947,35941,4467,21852,54872,62575,5785,13723,59054,9694,48738,1997,27726,35029,11637,76839,39105,92745,5472,33240
44432,56591,64794,43209,69451,56036,71917,12485,72410,1375,15099,18260,78839,41012,44942,77515,72218,58363,70992,92588,41468,72303,50393,25036,12127,90007,83446,16628,89978,99067,79786,64230,27716,60789,25583,62437
70462,9537,75185,26620,46457,23335,74015,96937,52937,84072,37348,15220,35483,65427,35075,32347,68243,456,3537,42611,54079,54750,40575,10530,40662,11563,88949,62943,68936,36275,91285,38037,36898,21890,87795,455
95367,68305,40369,63022,57541,17569,35463,59349,20501,33303,11270,67303,74430,85846,44961,79369,1795,84883,47523,14832,98277,41115,54411,20937,74288,45534,24207,49627,60332,67469,53494,97432,82266,66677,5722,26418
18518,95605,63445,9118,33583,76444,39697,16379,86171,99177,88056,5766,77156,23663,78436,83614,16719,54877,47205,93553,65380,14367,12273,44101,69551,63770,1412,47579,88724,66341,27628,2782,87454,99323,75275,69821
79329,77878,9843,35121,15104,17409,72546,29364,3422,77446,53348,87273,20199,36935,43181,86559,43668,10318,37185,19622,43861,7866,87345,18234,31728,45747,42064,77153,60870,80282,63679,66312,48274,28142,54316,57221
43000,76577,30266,9313,46097,50654,5026,88050,77826,18054,89856,791,98972,50508,89206,19635,81985,54821,57724,13390,69955,42364,55580,19257,36321,96147,18405,59149,57633,16847,28844,24515,16285,7746,78744,61118
30562,50048,9826,9919,76709,63323,49780,77901,1352,50893,3585,83778,56987,81236,6956,10482,91649,79394,43408,91200,17560,15889,33159,49821,37747,13534,38300,87959,72715,79673,26277,6856,82055,64287,10319,96717
35707,12478,11105,32765,59052,83595,9611,11153,14822,79800,61481,76911,52438,43543,20752,57941,55726,61669,94183,46983,3234,41588,15672,11459,36326,52559,92827,81866,38354,458,90838,1725,19274,52144,67933,60582
84685,73712,68958,86754,73632,97219,22944,2608,4625,29142,22736,5374,62046,51271,41672,54378,10074,51949,81494,89472,34786,52826,72439,70802,80328,16197,67752,69206,4242,85246,59261,9968,2343,98481,53016,14799
12338,62028,7105,70858,57881,15971,61696,24778,49954,40064,88105,31392,49904,48638,37772,92969,4680,12456,94664,1967,20603,77033,68741,21588,10685,41687,68901,37717,74411,15693,18431,74730,87669,65417,53533,55205
91215,69191,88461,32582,91266,99112,57662,81090,98513,5692,11553,86073,82809,78059,93229,97920,16709,92267,39396,39974,60475,7545,21547,55689,69402,94276,93948,80396,30849,27762,77578,93379,85143,34708,61966,27390
58514,20026,85518,77137,91912,3090,13315,12638,20153,72453,95767,16066,5568,50713,66450,79503,26549,54025,59797,65274,64440,48767,40271,93259,80794,30671,37295,31227,7287,40863,44727,19218,24929,9753,79201,45740
36537,43732,73567,48675,73896,90516,25419,9809,97960,48708,23820,37106,28801,43054,68613,6583,89989,14900,75220,75788,37249,70987,84739,10759,72929,38336,1219,47585,43469,30128,45542,62898,37619,53308,64715,84157
50319,61052,24889,40133,26758,85020,52837,57634,65293,40087,72455,76643,79264,45997,92785,33984,45215,8439,54994,57006,10469,25257,11416,26745,64574,35084,74634,82749,49951,37569,77487,47962,88311,78767,6826,23181
70467,53472,75062,8540,89146,90444,39852,31979,15837,52907,94164,5212,66689,18284,7008,62319,28241,49068,86986,94840,63952,44869,1515,64802,6872,56161,81252,1054,92931,56437,45489,61637,16183,65990,68305,13836
103,62504,61450,58543,98157,96505,5984,63255,23141,37160,67689,1469,86958,26323,65880,32623,33298,73219,51825,16550,90590,49250,86864,21852,92800,28562,29473,36437,54014,70627,31509,22054,5205,25665,16655,64439
40347,19122,44974,52626,68045,9608,2133,67170,43633,1583,94495,52278,30859,27638,41979,65934,81872,25203,60086,29496,37461,61431,39026,45671,94104,25948,12402,98070,14955,72575,13798,52764,71759,77810,24897,39036
51651,16037,3698,63866,51727,13622,86624,87874,97232,14696,66081,63387,27367,97213,92900,73611,41073,63753,6535,14894,19872,70133,44105,26721,82990,7777,47986,93526,94195,16758,30196,34228,38614,4544,98933,21099
19377,86597,44700,22049,34896,20244,90744,88001,5044,32028,51809,3031,65372,40563,27353,62813,1879,36653,66808,30914,86277,99444,43013,12582,45718,12940,68523,51812,16554,44085,15711,26878,80828,38109,4463,82042
74489,1521,53492,58497,38590,81675,28268,69914,29041,33949,93646,9796,82118,51108,53529,11529,31580,31986,26284,79329,20940,11349,65935,75144,55629,74746,53293,19272,96622,53281,29804,50551,74031,20576,78001,7548
22187,82553,71207,73018,69868,20062,85612,10400,572,14463,24432,84182,28578,11450,74724,19663,30575,93253,80244,11328,71871,51730,32035,88792,87953,61149,31393,87226,61449,49410,54973,78896,75250,21340,78713,33759
51830,76045,14802,57443,91415,39964,79966,10196,13066,72096,63948,29115,45143,99596,384,7487,15251,83399,83146,161,61111,48766,35290,33124,87847,6138,93713,86721,26915,55406,11922,79887,73347,2360,94947,91688
46755,60487,81697,79271,23537,72046,77903,32262,61333,89819,56000,70642,43650,81696,46649,29565,70961,31981,13622,94165,90037,52610,13963,60509,27462,50551,65373,2527,16471,40076,97692,62986,894,94089,39499,43666
52215,53839,65261,46474,51011,2916,7960,57183,8878,33186,90194,39972,25438,47507,56558,19647,83806,2646,73616,55993,62041,59377,21873,92204,76584,42,98350,34330,39830,25375,12821,50882,63934,86898,40833,40546
16247,98673,43671,15317,53923,86844,30269,68976,16754,84831,39302,44787,91183,71008,83851,86992,98457,82644,24383,74194,93401,14413,61956,50202,15832,46200,72082,65553,28788,83710,79905,95790,30103,59568,64476,30905
19133,7283,18063,25688,92358,88326,39695,16349,26919,87556,43978,41546,83784,86422,50029,37679,70625,27596,74154,73893,46485,42246,60798,74437,62523,44657,5467,50519,81827,32319,15585,67988,91682,11944,55384,14644
7395,75432,12680,98950,16873,59228,68226,62382,60043,6744,32442,86765,79438,79754,98797,19618,70017,96909,61978,73461,11947,57436,26517,52263,47052,34506,12381,28628,29281,80963,2371,78805,4225,63498,67400,69005
69345,56204,9291,63779,37098,56734,90239,55588,36080,79606,46480,38163,27974,5039,89945,60499,58134,96355,93877,12762,19040,15835,77787,81596,61439,46431,16354,11576,76635,78625,87656,4074,84178,77792,47097,84463
58114,73762,87022,7328,26344,56405,53097,80067,6406,1370,35703,17906,7271,34019,26562,24563,12023,97819,27803,5120,31904,83443,44044,98277,57101,3290,42781,94611,62388,60210,62390,37159,62303,10868,21255,13423
86718,71259,7845,28581,31628,59478,99980,88531,88541,71953,32553,4610,39227,27543,20393,46262,52233,83835,59195,44109,49963,53277,78060,25630,62214,20065,30923,24417,58078,71789,55541,69169,34078,45541,90756,80983
32880,76011,91769,53536,79067,45809,17402,39976,66177,33078,79451,18794,53781,39617,98869,41830,6280,28472,8609,18061,18632,49239,80744,6398,67096,42061,69361,61538,16360,86987,60068,49218,69051,51425,99202,70363
81035,57364,53906,36263,77603,93765,2609,42868,33079,62040,30899,97059,41004,20843,92102,55057,7157,31629,32336,21607,80404,23413,96511,98151,91785,95903,41171,72505,28418,33753,96829,60024,19694,20615,55523,68460
33845,71224,60476,22775,4426,62122,36200,20157,15799,68099,26416,17415,1475,74634,60633,16032,95738,51695,27383,96314,44969,7223,13959,71367,88793,45291,8568,68490,75252,80627,90133,12390,74431,47057,2878,40012
35740,65801,27257,42831,32932,43836,24821,28858,97844,37481,60144,22659,6722,20785,79813,10082,36305,58397,85720,81557,81308,53812,15720,82330,57217,94158,16772,12529,37394,96796,30002,20266,58655,56018,70647,88196
83443,94589,44553,66773,70611,64107,34362,22529,78970,89818,1303,10,44584,41364,48936,97580,80657,64508,10199,43980,10629,41515,30088,98544,77597,89578,77973,59575,91769,92828,93161,19984,26001,53606,94346,30496
6849,4890,52016,73052,4619,59594,2532,65511,72600,14336,4458,8546,60077,85391,99189,7950,4409,38545,26137,23059,55356,57248,44560,67902,85667,93860,25436,73098,90290,45610,96603,59464,82158,78983,42142,663
92187,61150,37014,44988,6351,89080,35848,28919,23159,36855,27362,47948,33832,65625,60095,56805,37222,28739,53374,94285,97717,62204,2455,91807,54259,54365,38498,7580,2430,54323,64515,11145,19602,65719,13219,14396
4664,97925,95391,96912,93245,25595,88706,95628,4971,54604,15142,24465,87460,54053,81615,58677,22180,61696,35666,18602,77113,19390,93738,39161,52996,63106,73485,69073,53832,7479,84635,51513,53697,84319,19973,15577
82729,80319,40917,34803,7279,57934,56865,43054,56291,80537,45155,57650,70118,83624,94516,54316,63254,8270,87495,99029,99858,45725,54874,93380,54726,37302,76487,33086,21530,58998,90851,81835,81655,66652,94389,61075
43218,73600,14841,59054,98238,23341,65616,42804,59499,40599,85248,69607,53528,22333,93704,93319,86560,2742,17431,28332,85152,56955,97605,5582,14800,51748,50004,12053,19665,41203,39589,71699,55805,34613,87561,51000
93358,85922,13141,87813,80537,95909,60985,98707,58376,84447,81085,87224,48958,65424,61932,78136,66321,58495,32090,73033,70769,33206,11109,70934,62464,87851,46520,5874,18962,26108,80672,79147,95278,56420,67517,82040
69204,5824,37084,73380,68984,53524,60820,50072,7330,81153,37332,63813,10832,54532,46048,25286,69592,83430,90324,90227,55611,82749,52764,53648,9754,63516,79272,89601,35097,10507,17949,23364,81363,32526,44642,98724
42008,97736,74465,23216,13048,48788,39613,93061,87239,22372,83142,52704,53144,8232,40157,44007,14936,6795,30429,45772,16475,79489,70579,92017,97660,5160,42571,87724,18134,64710,426,31281,15317,803,46894,69669
68631,81557,57293,52979,17842,7479,26197,15455,99213,78246,7669,92295,46010,32312,35259,13856,80855,17794,22258,23538,36010,29232,66755,16439,2758,78718,11584,74579,32059,24798,9640,34245,81767,45454,20238,44853
24231,88685,76335,60802,25533,38282,29795,9653,20097,78435,14236,48752,87418,57189,63515,70664,50592,53644,3279,72496,49112,35684,87542,91446,73520,32195,57962,50555,39235,29666,9963,96417,53155,95439,63960,15508
9796,93416,11535,66694,93906,12317,88761,66467,35355,4518,30594,4675,94415,62263,45083,11323,88772,74970,86550,84883,89762,58603,31404,53330,49576,83870,33140,41024,14307,11694,67401,12325,40594,84253,21079,83786
72048,73867,34696,13595,63605,53087,27485,88013,63677,34981,89887,964,30522,49915,50869,16579,53479,41287,62967,31377,19220,43925,57472,99533,2598,2874,13321,16537,68922,23065,63102,68353,47323,58,46754,71442
97909,20153,30725,91348,98173,60369,18779,78408,62735,27944,13976,12627,44391,45024,8015,1765,67296,58555,93701,18870,29203,9868,15538,66426,12660,9117,32918,14657,33635,54079,33868,89624,6529,6983,38980,84545
36699,99555,67551,50393,2372,55002,53322,24032,16474,93992,89758,11937,86775,80062,51895,9850,75376,81275,4883,37853,87752,80265,5053,80308,14440,87121,2648,51165,85539,79873,26430,48976,20126,84098,15105,95690
66428,5521,51109,99446,7064,41250,38634,68642,38312,24922,1812,53625,52295,77141,85471,86246,34792,32758,47700,62054,32508,67056,10445,56692,24078,21420,95233,58816,75731,91760,63429,60960,98076,61720,73570,56630
3265,57878,89203,5776,50854,62123,85667,65030,50048,69823,75484,78735,73860,37769,97840,67027,26505,99679,71889,35965,86867,28410,38421,65076,85026,98969,63863,5656,61697,96491,51047,60356,25619,62238,92357,37119
32204,83798,47949,61623,50181,14582,12405,17373,15519,67873,59424,95202,93960,6321,20331,56597,18818,69486,41980,91425,85025,558,56343,23078,78696,19215,67442,10248,86544,78359,86188,57545,41586,6470,98672,14190
81984,84363,45925,97156,57919,39651,90935,45878,54917,393,59555,94313,84411,56640,90464,42100,33469,63888,81006,86200,84898,27820,94608,2349,48513,92732,49974,36178,27235,21097,1776,15697,56741,36433,59624,2016
48966,11421,88486,56529,96960,24568,8043,13538,10755,30864,2436,8707,24036,16723,55366,42671,52683,39112,4722,22791,56964,48742,26970,49831,64161,39742,70171,89596,54355,91392,59973,23461,92306,87161,24253,91569
86386,26729,66282,44996,67067,19432,69407,97370,69492,85753,1139,99838,31231,59285,30522,21476,28638,23099,28260,92653,85120,43992,66585,46938,53287,26105,27320,85824,81418,4334,30381,65538,79865,9934,1367,41195
5452,33304,10219,27644,99536,78119,8564,85697,51482,31367,23033,67966,55625,51024,15946,72108,13965,13436,48582,5720,96984,45011,77870,44220,44292,55434,28619,37390,33259,99095,69015,95762,56959,87348,39858,1756
85819,28102,14609,15120,69786,21695,17563,2251,19955,59156,66836,67282,73257,87571,38806,58238,41964,48778,76269,52783,60312,81440,61098,14938,38457,70581,61671,36050,45610,98332,34364,25315,7888,9776,79996,87097
77692,54984,29748,2719,41435,21415,28574,28639,8867,78747,47038,75998,93062,45938,58696,8042,69091,38973,36291,20205,3638,35811,29120,7200,86878,58931,27900,41142,18794,76094,48915,49673,73337,73691,41455,67702
94926,22598,91251,5107,1142,24162,97864,1549,81065,26196,91965,5233,80315,37931,30302,17581,54830,17370,97323,66593,67662,83070,49495,68694,72257,21610,35293,95218,65316,93480,19326,55185,35851,51998,49621,56153
42012,80832,75791,15011,25842,43362,14944,47235,47930,8163,61390,76402,42566,27545,57969,17626,22710,72173,74225,21346,51660,82679,23649,26940,86148,651,89673,14184,39881,18306,28728,87490,74480,37062,26432,56567
39818,61736,80886,42329,52656,60640,60967,94102,13200,17156,16793,76166,4180,72585,83138,80744,69490,49286,99840,32841,84847,53236,61160,67349,95453,74495,93808,74293,42452,44992,4932,68406,77476,12703,31337,38990
79144,16482,21574,93549,95680,21150,23480,5585,20442,8504,51683,71959,47458,22229,30252,72612,84652,39851,19449,85273,9133,42656,20777,63364,54486,54686,9694,61394,95733,74581,61657,80453,1616,97598,21898,88250
77101,48675,69698,18068,93928,84740,36427,93399,72518,76426,34467,2118,94636,8366,25847,24601,38043,94922,20931,92895,66329,84831,29248,53167,74860,59027,6235,97341,9779,6436,11972,92140,20338,47252,86751,3622
77834,73545,90545,83031,84752,50766,69700,43566,30464,6488,45341,90508,43463,40024,34248,47239,45686,48167,48389,86189,50021,35076,77847,89009,20171,80805,50421,19474,35488,4180,62361,46373,54316,12289,17303,97242
35626,69436,22664,3617,89277,89699,62550,84516,25406,17823,60376,31690,82725,84934,25414,54655,25043,26251,12797,32964,18156,91447,36946,53083,92440,96509,21615,92039,85026,14801,75054,85886,53299,42159,91917,97645
67587,39442,69293,52830,16966,90428,68105,76516,14549,80135,28220,60973,36786,31074,86178,87958,12221,77490,32316,59448,84180,13975,98549,18878,65558,61675,38318,88520,14752,15611,24980,33488,88720,2060,60193,72249
58883,19529,27381,72369,35562,3743,75404,25038,17526,45984,96075,39121,17200,47226,55984,89612,99159,44908,40130,27141,60983,31147,4658,86290,48288,39430,3992,29270,42358,25689,37995,76554,55888,70707,41300,23864
51406,19728,6516,44220,87180,49818,29784,37415,10002,54113,46243,54917,34963,35745,34138,12824,49525,38712,5840,91733,19034,84061,76367,73606,2005,95827,51344,55121,67244,41077,65072,20787,59687,1961,99152,5076
81631,83472,49264,82702,65982,16853,57584,2592,22397,47468,50053,3933,60486,42228,74188,71170,87232,8236,36807,34693,76193,9758,58621,50468,69701,60481,33372,47759,72228,4831,70012,60607,97573,96337,42534,52057
83771,45307,2255,43713,25769,36156,46914,39491,90517,44306,26075,76446,18780,20379,38471,54031,2322,36479,44588,77870,78040,66304,82220,91084,73254,6848,15476,8053,79574,39384,12654,82584,21721,25105,96958,69418
40454,27237,90824,15882,5241,69191,84967,47226,32520,22935,91334,1315,99323,44005,59891,4194,26750,92846,28030,27031,21934,49761,25881,13489,99051,75033,91713,40993,35894,69103,41166,89255,12033,3400,95588,35246
4787,54505,14437,43595,27037,63462,45188,61878,74082,73067,3150,95204,80233,29020,52206,67370,13155,81647,12151,79749,23730,13364,69192,8416,54904,11145,56374,9997,70525,89937,108,35841,90668,69078,74265,40796
24922,54739,6269,78262,91802,47043,25036,68084,61249,47877,69507,35883,88292,14541,61551,79138,24054,7509,63708,44267,39663,21139,44886,87523,67670,92826,30107,51019,68091,40708,8071,49425,74573,43941,10954,93389
64940,89830,98550,56267,11166,83173,15445,81894,31990,78490,73257,84139,87211,94224,97002,39947,23812,72509,97562,15753,27600,96421,38261,15406,29860,26675,16887,20728,80131,94687,23102,99807,91514,46599,44160,99509
6053,42708,32284,6474,27318,73597,10506,38963,32945,47950,79802,67788,13633,8002,90372,57848,90359,20449,57217,83688,96090,46525,19450,77034,88470,41872,56162,69006,24852,24354,78898,41776,3428,68097,26598,19962
