E_A,B_D
24561,33230
24567,71741
24574,34663
24592,21312
24596,71400
24610,85263
24619,78540
24621,9663
24625,8427
24642,94921
24645,91724
24659,98838
24667,35581
24688,128869
24733,59858
24757,96649
24760,993
24772,95159
24780,3824
24784,36029
24799,537
24805,86430
24807,34240
24834,95768
24852,85012
24853,73877
24862,79097
24866,54765
24885,28528
24894,50745
24898,95464
24902,84516
24913,48612
24919,55046
24921,97247
24957,3776
24981,55426
24992,47321
25037,139176
25040,23282
25045,51583
25047,90091
25049,63030
25058,20918
25064,93332
25083,55124
25086,35092
25098,43525
25103,89302
25136,47737
25152,21269
25158,91664
25171,68187
25176,52851
25179,91383
25202,96497
25207,38794
25214,89200
25215,49099
25257,74158
25275,8107
25277,80124
25283,23039
25286,21928
25287,69315
25290,66290
25293,79378
25302,71904
25306,40723
25320,53975
25321,1494
25329,33823
25348,48780
25354,60936
25358,33991
25365,6453
25384,35063
25387,13081
25399,21138
25411,73481
25413,414
25424,135837
25437,10832
25442,91031
25461,41653
25487,59566
25488,89898
25496,55725
25500,97425
25503,78738
25508,42386
25519,43462
25533,39235
25539,65998
25540,48656
25574,11114
25587,27857
25592,52853
25614,86666
25638,2150
25661,79355
25666,58913
25669,92675
25678,91800
25686,57372
25694,98998
25696,42188
25700,85830
25702,54063
25729,79026
25735,47629
25741,501
25756,4796
25769,79574
25772,41853
25773,12542
25785,21658
25793,68016
25800,78488
25812,25240
25835,74867
25841,49759
25842,39881
25861,99372
25867,57435
25893,25402
25894,96778
25903,25442
25914,17407
25918,62207
25951,174733
25955,23580
25971,91593
25979,49274
25987,65721
26010,22464
26026,67222
26034,40464
26036,21282
26038,51576
26056,82405
26061,72025
26077,15000
26092,38220
26098,94630
26111,36849
26112,600
26172,101280
26178,25395
26189,51418
26194,62330
26207,5514
26210,36259
26227,33805
26230,156118
26233,57424
26236,110385
26241,1876
26261,25718
26263,60850
26267,70854
26279,74401
26300,50044
26324,88480
26325,5932
26326,5501
26330,65764
26331,90402
26333,90345
26344,62388
26356,41433
26377,16695
26391,37203
26393,84158
26395,84339
26396,4133
26397,79727
26407,2898
26410,3178
26419,27613
26426,79900
26431,61478
26444,27078
26456,47757
26459,2084
26470,49333
26487,25184
26501,68302
26517,34747
26531,31249
26534,42948
26535,24400
26537,96782
26546,6061
26584,4187
26600,97018
26609,84302
26663,86818
26671,134649
26707,29508
26712,69265
26716,95564
26719,3399
26726,1541
26731,18319
26754,85499
26758,49951
26781,90835
26799,1764
26800,29449
26801,41434
26809,19069
26825,94034
26846,24142
26865,10945
26870,83470
26891,54538
26901,67082
26915,72480
26932,28070
26964,27677
26979,66544
26980,54215
26981,46505
26989,26644
26997,79948
27010,49250
27019,69615
27025,8295
27026,29162
27037,70525
27048,48012
27059,40470
27062,74248
27069,29777
27094,3020
27102,92867
27109,10892
27117,36051
27133,26347
27142,45542
27151,71928
27160,15107
27161,44850
27162,110090
27172,25374
27210,115824
27231,460
27238,51766
27241,18608
27260,6001
27271,14514
27275,52837
27290,27148
27293,84929
27294,8256
27315,45288
27318,24852
27321,76494
27342,70161
27347,33276
27354,51007
27362,2346
27367,11512
27393,95608
27396,2495
27405,23821
27408,11813
27410,61055
27414,92132
27438,96561
27470,85861
27480,60571
27481,12705
27498,21690
27513,38044
27539,66402
27545,80566
27561,49120
27567,74735
27588,164481
27592,48998
27601,54267
27613,16568
27625,15515
27636,65901
27646,48054
27655,43097
27662,18515
27668,20212
27675,12806
27677,75672
27686,19123
27695,1294
27701,61173
27705,56079
27721,10226
27737,79510
27739,87745
27745,88586
27750,70357
27753,42495
27754,87526
27773,23496
27787,48219
27790,97083
27794,64165
27810,36867
27812,96387
27816,44483
27826,41823
27838,72304
27856,41307
27882,36254
27912,58662
27926,76061
27927,87946
27936,75631
27939,24309
27940,52370
27943,34722
27944,72815
27968,96436
27969,43332
27975,34647
27991,83559
27993,53583
27994,97429
28008,5916
28009,68073
28015,164099
28027,5295
28061,123987
28069,89590
28072,69186
28091,14496
28098,68732
28110,68631
28111,33064
28124,29480
28129,69225
28130,27075
28136,3712
28149,45688
28154,61709
28156,27522
28175,98541
28199,47610
28201,45965
28205,93241
28212,72954
28216,60822
28218,79867
28229,44346
28232,53765
28238,68011
28243,53841
28251,17971
28253,87801
28258,75581
28261,68001
28280,41008
28294,42558
28299,30271
28309,25624
28312,59293
28313,82409
28397,59121
28408,51884
28411,91734
28437,75124
28460,41956
28465,34473
28475,122052
28476,10220
28479,38897
28486,52262
28512,29898
28519,11474
28532,79985
28536,14849
28559,44219
28564,9857
28592,67284
28602,95897
28608,87978
28633,87791
28639,37192
28643,13524
28661,87240
28663,65888
28672,44853
28688,17306
28693,80259
28699,75144
28706,10684
28715,57095
28716,75155
28728,76277
28729,47554
28741,58008
28744,33
28751,53438
28754,35418
28761,44373
28775,55018
28778,70301
28784,34289
28788,92462
28795,17024
28817,54564
28818,87736
28862,38644
28883,20184
28884,94534
28890,17953
28903,92068
28909,3024
28911,44596
28914,28677
28922,72775
28929,1274
28932,12446
28937,80325
28955,99902
28959,44094
28960,6331
28961,28592
29001,27543
29023,66227
29027,63287
29031,59865
29045,83456
29051,34216
29056,6666
29058,94571
29087,4315
29089,51560
29090,39461
29091,77086
29100,63520
29111,20336
29137,77780
29138,76581
29152,85127
29182,41757
29202,188284
29204,1933
29213,42017
29227,28966
29230,20831
29233,58698
29246,81538
29264,68315
29274,56873
29276,76094
29285,81550
29287,66357
29319,67145
29322,73121
29348,24146
29354,67658
29364,37597
29375,53578
29382,64501
29415,151176
29426,42738
29447,31905
29464,57755
29473,53233
29477,53368
29486,15907
29512,21145
29529,14
29531,54945
29534,27211
29542,97740
29553,355
29573,49525
29582,62274
29584,43039
29590,95456
29594,90256
29596,58020
29617,27223
29622,74684
29632,63549
29636,12088
29648,85554
29653,72821
29663,128837
29705,99364
29708,54859
29723,62479
29744,79337
29750,58414
29758,163297
29761,41670
29762,28533
29782,9196
29794,35989
29796,79075
29804,16532
29814,10844
29832,60220
29842,90447
29843,16059
29860,34913
29874,13760
29875,31036
29878,2209
29895,23288
29906,48505
29910,55817
29920,55597
29943,130036
29968,94330
29977,15339
29978,83402
29987,15021
29992,82291
30001,84960
30013,84379
30019,59830
30020,117649
30023,39051
30032,94028
30044,96412
30051,2109
30060,70963
30075,77589
30108,90022
30114,96905
30118,51289
30129,24499
30164,85901
30202,54132
30210,63446
30233,3275
30234,38556
30236,19353
30242,24823
30243,29295
30247,34591
30268,73334
30275,86635
30276,25698
30300,41190
30305,12055
30349,19076
30388,93878
30397,82910
30407,23246
30416,6445
30418,4608
30419,11119
30425,46459
30434,25524
30440,98311
30444,19446
30450,26794
30462,61312
30489,70807
30493,93573
30497,9098
30503,77241
30515,140755
30520,78022
30526,64504
30533,31752
30550,47940
30564,10027
30591,60585
30595,24179
30613,9569
30617,26517
30619,61318
30621,66610
30642,47855
30649,7365
30674,50920
30677,15397
30705,9047
30708,60797
30714,35764
30717,55641
30722,13793
30723,79448
30737,5529
30740,47549
30742,9939
30754,66651
30756,94754
30769,68488
30773,10538
30793,90966
30798,130
30801,9214
30815,25056
30820,97577
30826,21423
30828,34663
30848,35060
30859,29453
30890,16569
30892,73466
30894,80734
30918,30448
30919,18446
30931,83551
30937,99544
30953,73552
30976,42326
30982,93899
30992,84771
31007,11499
31012,15043
31018,56069
31033,48850
31053,21445
31074,40622
31095,30278
31122,55882
31145,25945
31151,86443
31157,42436
31158,57567
31160,23795
31164,75995
31165,43496
31166,83006
31184,66040
31186,97446
31188,41813
31190,6982
31193,32144
31209,55577
31214,92474
31258,34571
31261,24836
31264,3393
31273,40965
31275,96652
31276,37310
31285,13853
31292,10069
31299,41141
31300,58949
31321,20767
31322,65015
31331,4448
31352,61794
31380,19874
31381,91305
31406,19633
31407,53178
31413,96334
31420,66300
31428,63246
31441,20750
31442,26817
31467,57223
31471,22453
31475,33067
31476,19631
31487,57688
31495,49708
31500,77943
31508,72765
31512,63334
31513,11491
31532,3246
31541,4291
31546,44028
31585,67745
31586,38499
31588,56861
31608,11507
31610,81477
31618,33442
31628,58078
31646,84501
31657,79589
31664,66637
31666,60098
31686,84376
31705,86763
31707,46062
31709,62844
31711,56527
31714,137232
31716,16141
31717,10550
31727,90601
31742,65229
31774,55813
31792,87646
31794,98706
31799,93903
31801,41342
31817,52528
31820,45753
31828,45981
31830,14363
31831,95515
31835,10675
31846,50087
31855,9958
31863,56419
31869,12321
31894,59213
31896,2603
31928,22964
31929,65734
31938,41169
31940,12858
31958,71758
31965,98918
31981,45822
32012,63939
32016,69736
32018,58169
32027,19870
32065,48480
32069,45847
32104,126364
32112,27388
32128,84359
32131,85995
32143,79853
32153,70731
32158,18003
32174,51096
32177,74520
32184,18690
32185,16802
32189,48708
32193,24270
32203,30887
32214,84581
32239,7329
32244,73774
32251,98383
32268,87187
32273,18159
32275,67371
32288,64432
32296,62929
32305,50593
32306,67022
32309,75596
32314,592
32320,28352
32323,34683
32330,72524
32362,7390
32398,90541
32401,61414
32418,78119
32422,20751
32430,75564
32445,77413
32465,65754
32471,83591
32487,20944
32488,68120
32491,68438
32494,48942
32508,88996
32515,39249
32522,18445
32533,75753
32542,99637
32546,24132
32562,75293
32570,30674
32572,91772
32574,148144
32576,41314
32577,12464
32587,25323
32588,46772
32592,47439
32593,62960
32598,19092
32605,46085
32621,32381
32622,68449
32649,69996
32664,51220
32666,74581
32674,32797
32677,6689
32679,2550
32687,28676
32689,45687
32727,85469
32740,61714
32748,90952
32755,64655
32759,79689
32764,39017
32796,4392
32802,67428
32812,67903
32815,73708
32820,72820
32838,30512
32849,9607
32867,97559
32883,8174
32886,87126
32897,92274
32916,55726
32918,79805
32924,138448
32929,81301
32931,87911
32932,121796
32941,17983
32947,40508
32949,82213
32956,70136
32957,79960
32959,62159
32967,48281
32973,68887
32985,33357
32990,45338
33035,1363
33042,77859
33056,48932
33063,68106
33070,25963
33075,76728
33079,51043
33081,27344
33095,87072
33100,76878
33106,43238
33122,21816
33124,59430
33127,5045
33136,78845
33138,79282
33158,54314
33167,70472
33180,39881
33192,47649
33199,74767
33208,95398
33236,86688
33242,16629
33254,28105
33267,29790
33269,27500
33277,979
33289,75010
33303,86148
33318,19490
33319,34039
33330,95383
33345,57194
33348,6279
33350,87000
33380,79159
33389,27996
33408,21596
33415,93763
33437,65338
33442,79984
33456,36117
33466,74097
33508,79299
33515,68956
33517,18968
33530,40053
33570,21624
33583,88724
33586,86730
33621,84907
33623,69149
33653,26210
33661,77340
33697,84854
33720,2257
33728,10337
33740,46362
33757,22174
33759,27117
33768,34161
33781,82527
33788,10879
33793,74003
33805,73339
33838,96784
33843,58080
33853,72107
33863,34205
33868,38001
33881,17925
33886,155247
33896,12055
33899,48130
33901,22644
33925,105679
33938,37277
33939,17618
33943,67680
33947,43573
33966,41811
33971,6927
33988,27954
33990,2184
33991,96875
33996,45103
34016,15227
34024,86665
34033,73293
34036,49649
34043,34297
34044,54188
34051,84565
34055,35319
34073,59480
34120,70159
34142,57435
34148,79283
34159,52636
34167,3198
34172,110040
34183,40462
34187,1639
34188,65530
34200,89255
34208,19916
34210,77296
34219,42656
34224,70578
34227,129372
34234,10574
34235,86892
34263,42447
34267,96695
34269,41400
34281,31988
34297,16233
34299,59461
34317,34033
34318,96267
34325,77932
34335,98049
34345,4183
34372,2586
34382,57083
34389,66531
34391,38239
34450,41550
34463,16600
34473,13834
34493,7956
34499,69918
34501,64329
34502,45537
34509,49999
34510,64875
34517,98066
34529,31
34532,51268
34533,76029
34540,73273
34556,41664
34571,62248
34577,46587
34582,45903
34612,62136
34615,59345
34625,21771
34703,97585
34717,7361
34724,45150
34727,46058
34735,50296
34740,62610
34741,99758
34777,43836
34780,24182
34797,37638
34814,28377
34817,2471
34827,27572
34830,4143
34838,584
34841,86237
34851,52599
34856,9184
34862,28964
34866,25235
34873,162478
34884,71132
34886,34527
34891,54445
34892,9231
34896,36115
34904,65087
34915,44006
34918,15623
34920,60063
34934,24553
34947,3892
34961,114684
34967,93219
34974,4740
34976,121415
34986,62793
34994,79587
34997,98740
35044,62577
35055,60379
35069,42824
35084,79748
35089,91158
35113,7594
35115,1372
35121,53643
35124,9631
35128,37132
35141,57260
35147,12961
35155,60839
35157,58932
35168,24225
35217,73624
35231,22021
35232,3483
35239,80350
35242,88364
35252,88979
35282,27662
35302,30668
35316,52038
35318,28230
35321,63499
35328,4374
35355,2943
35377,8635
35385,32445
35389,11908
35392,9806
35397,49159
35401,92218
35414,58154
35419,71338
35426,15831
35460,30888
35471,93228
35480,59436
35492,98484
35533,13734
35551,8302
35562,42358
35568,2007
35569,65423
35581,23589
35599,33612
35605,25117
35612,925
35613,77745
35627,17198
35628,22953
35630,39740
35638,96085
35642,78603
35668,24952
35674,85619
35680,16351
35708,26789
35719,87423
35724,10087
35729,98508
35730,19011
35731,13099
35744,3508
35751,25081
35753,23286
35755,67580
35757,53125
35768,19843
35777,58628
35779,90543
35780,59715
35794,97975
35803,18266
35828,35045
35829,54177
35837,12787
35841,4406
35846,83764
35863,33376
35867,87604
35869,89667
35877,16142
35878,53587
35904,53275
35910,4185
35921,22518
35922,53148
35928,49102
35933,35162
35951,69164
35972,49382
35977,92735
35995,39472
35997,48152
36004,89300
36019,91630
36022,42214
36036,35887
36037,96053
36038,10980
36042,50995
36050,20627
36057,228
36061,63750
36085,51361
36092,65307
36095,53063
36102,69340
36111,7270
36112,95159
36131,73570
36151,45742
36158,47716
36205,77652
36242,59508
36247,71497
36257,52863
36258,84993
36265,65780
36275,26988
36279,29189
36285,57335
36306,63679
36307,99667
36320,26442
36322,81559
36323,25679
36332,33383
36334,85551
36349,81013
36356,63362
36367,39129
36372,37366
36380,99808
36397,63855
36418,82132
36419,148174
36457,6432
36461,29274
36464,12070
36469,37885
36478,58499
36511,53810
36530,35161
36552,38160
36561,6470
36569,82861
36583,48943
36594,56894
36601,80791
36617,94312
36619,78300
36622,129087
36642,51583
36672,45471
36680,58633
36682,43863
36684,33267
36685,17108
36705,28033
36708,72973
36716,59150
36719,21443
36741,49802
36788,75061
36800,17717
36828,71565
36836,42871
36838,92872
36842,13616
36851,5645
36853,82138
36877,34435
36890,63895
36937,55000
36950,17686
36951,53147
36952,9796
36965,89700
36987,16702
36990,22330
36996,24319
37003,64667
37010,99855
37028,7988
37035,38915
37041,39622
37058,76089
37097,39040
37098,76635
37104,4734
37142,80978
37147,91794
37159,83761
37164,70597
37182,42205
37183,152520
37186,99187
37188,93300
37192,93768
37204,90168
37205,73958
37206,80237
37263,30782
37264,87913
37265,6162
37273,55512
37277,55132
37285,42017
37292,33644
37314,50903
37318,41008
37325,97286
37329,70731
37340,14822
37344,35032
37370,17313
37371,90488
37384,909
37387,72568
37402,16943
37404,47212
37451,3543
37455,42574
37463,91969
37477,16026
37479,69509
37486,35077
37488,143331
37497,39754
37499,37232
37500,73013
37501,38219
37504,17638
37506,78838
37510,93116
37521,54543
37525,89311
37529,87312
37546,50139
37555,25638
37560,33404
37568,77809
37572,95536
37579,38261
37584,20952
37589,32170
37596,88075
37606,4132
37607,56261
37609,66127
37610,48034
37615,101953
37622,57732
37639,39564
37643,80457
37655,90735
37679,89897
37684,38360
37694,77448
37703,86565
37704,24155
37711,20409
37718,42742
37731,12326
37754,53859
37771,5662
37779,14187
37797,68025
37810,59236
37811,3639
37812,35249
37838,56218
37840,46811
37851,37544
37855,79073
37859,72362
37867,26793
37877,71132
37894,73030
37902,22092
37907,88590
37926,72740
37938,66492
37943,9087
37947,51753
37957,44944
37959,81076
37965,19850
37971,42642
37983,12878
38010,52673
38015,86802
38021,16120
38031,84008
38043,88394
38056,37999
38063,74073
38086,77057
38087,70416
38091,94039
38112,4599
38114,20273
38122,61968
38124,71463
38132,115253
38134,9562
38160,30749
38176,91862
38195,23518
38213,92072
38229,12316
38231,67291
38252,30059
38269,38987
38273,36603
38277,87833
38287,87422
38291,15164
38316,52160
38321,96631
38355,70401
38356,98101
38366,28079
38401,75536
38416,10571
38417,33709
38422,38964
38426,33627
38430,93568
38439,62577
38440,68079
38447,52654
38449,22235
38464,53205
38478,86400
38495,76668
38498,39569
38513,91436
38519,9027
38522,18168
38534,30669
38538,30594
38539,86843
38562,42108
38571,33906
38574,15330
38576,8230
38578,5665
38580,22138
38587,95450
38590,96622
38595,36608
38601,8823
38602,1553
38603,4708
38611,25809
38612,1340
38620,76159
38624,93020
38629,61685
38640,121403
38648,75226
38667,42500
38681,9067
38688,60041
38702,90618
38710,40581
38724,53006
38756,63857
38771,26729
38772,35163
38775,35557
38797,2975
38809,59612
38822,61981
38823,83140
38851,36559
38862,14966
38871,39445
38885,65902
38892,13706
38913,77448
38915,75809
38920,80188
38926,34177
38932,47581
38935,166338
38960,75421
38970,75204
38975,36212
38977,5115
38980,40886
38981,63822
38984,87499
39000,65702
39013,79819
39039,39459
39060,31218
39066,97389
39068,31701
39096,13182
39106,71283
39146,20735
39184,54032
39188,69706
39191,90578
39197,67409
39200,93718
39205,90951
39218,24936
39226,190261
39227,90650
39234,43019
39235,4832
39236,54063
39252,6590
39253,34345
39255,42048
39265,72689
39267,10686
39272,58098
39281,24222
39290,53999
39295,88247
39296,25237
39315,64861
39317,49045
39324,90957
39335,96101
39338,4712
39349,108604
39353,47796
39354,2232
39363,58276
39371,21251
39380,49279
39386,5102
39389,87762
39423,59835
39430,47446
39446,79332
39468,37840
39471,64168
39479,123078
39486,71165
39487,34591
39490,47135
39500,23317
39501,75599
39504,32367
39507,80608
39510,37713
39522,68676
39536,43464
39540,64705
39542,41425
39568,35071
39579,42774
39586,31781
39595,79006
39616,51183
39622,48054
39625,87427
39628,95581
39639,12753
39680,89446
39684,9037
39716,24506
39733,92541
39744,98405
39754,30906
39759,10661
39765,25455
39783,60412
39787,2999
39788,53302
39805,87449
39825,50360
39837,48234
39840,13124
39848,63298
39860,6709
39869,86301
39883,24852
39887,131350
39888,15726
39892,87810
39896,7338
39898,8763
39899,71938
39904,50503
39927,64208
39947,56498
39961,15804
39962,82791
39964,55636
39967,92375
39986,77562
39995,93132
39998,13479
39999,87360
40002,16809
40058,846
40093,26218
40099,67134
40104,94253
40114,61340
40115,65644
40117,81297
40128,69616
40130,26696
40136,58653
40137,43193
40139,54597
40147,55004
40168,35187
40173,41717
40174,47936
40214,44715
40226,49300
40228,96615
40232,69408
40242,2031
40249,83320
40282,53490
40298,14266
40325,91877
40326,53795
40337,72237
40348,73218
40386,51649
40419,73318
40437,21881
40439,2144
40448,65737
40451,81326
40455,8323
40457,46230
40464,115410
40471,54965
40473,7657
40499,66239
40508,96403
40510,91318
40513,95448
40518,23667
40534,99030
40549,23955
40554,68772
40556,99958
40558,73219
40561,72536
40566,77959
40581,98664
40582,13602
40594,73579
40598,91209
40611,34489
40614,69688
40618,15370
40624,39342
40639,80329
40644,84848
40649,25028
40663,31131
40674,19563
40706,30052
40721,97454
40722,69707
40732,14202
40736,27954
40742,59448
40768,51922
40777,61580
40843,8914
40847,6070
40852,23568
40856,74217
40871,9176
40876,10331
40878,95333
40882,12517
40883,23198
40884,81542
40885,51414
40892,22407
40904,38985
40905,72743
40911,43085
40914,95296
40925,97606
40935,87302
40953,70255
40964,16979
40976,41952
40977,82664
40978,42591
41007,84527
41010,29042
41022,97984
41046,40738
41093,12807
41094,82843
41099,5573
41106,70849
41109,54501
41124,31571
41131,28
41137,67754
41143,60498
41147,28077
41157,52277
41188,30828
41190,106264
41192,12024
41194,16676
41201,175990
41211,74606
41229,48839
41232,59174
41275,93051
41297,27984
41299,148839
41316,1633
41317,99362
41319,11715
41342,19436
41354,5
41362,87291
41376,72136
41390,27902
41395,16541
41406,95228
41423,42601
41427,3244
41431,99117
41432,21644
41434,93206
41435,18794
41442,57797
41464,91610
41490,91124
41510,60568
41513,21425
41521,41021
41554,80067
41566,5093
41567,26396
41568,52572
41578,14430
41580,97574
41591,73210
41600,95824
41601,32134
41608,417
41616,3321
41618,61084
41660,9820
41669,79560
41675,72488
41683,30771
41685,45802
41688,42633
41700,25994
41731,71363
41736,74586
41743,80468
41749,119283
41750,841
41752,4875
41755,80272
41773,94542
41834,89185
41847,47615
41848,2252
41858,98747
41861,6708
41891,61317
41899,79947
41905,21506
41908,76024
41918,15103
41920,26334
41922,13938
41934,98445
41943,76125
41957,29623
41985,80008
41986,24756
41990,63529
42012,56663
42045,46966
42059,13535
42062,75264
42084,70248
42087,14884
42088,20274
42096,62154
42100,31865
42108,70227
42111,9108
42124,89015
42137,59524
42143,88649
42156,73169
42165,56219
42217,36942
42239,1088
42245,79455
42248,7537
42289,1634
42293,33553
42294,63703
42295,12346
42296,91932
42310,88688
42318,33449
42326,17738
42332,26539
42343,51826
42349,2190
42364,18579
42387,341
42394,59698
42408,44210
42420,52245
42427,30371
42446,29878
42452,59552
42453,51292
42454,1476
42488,15844
42505,30855
42511,72075
42513,37768
42525,24612
42535,28620
42561,39543
42570,47734
42585,25136
42599,11802
42610,42456
42611,23498
42616,80549
42617,51638
42619,67940
42627,70385
42630,12973
42634,86358
42648,34031
42649,27137
42652,29436
42667,12370
42679,76871
42687,1541
42688,57488
42705,99425
42709,12026
42713,48679
42723,43119
42732,67164
42733,93851
42750,87658
42753,28075
42762,14920
42776,38941
42790,89943
42801,23533
42802,5789
42822,51548
42838,74421
42845,67810
42851,99248
42870,51589
42872,91496
42883,15982
42887,75593
42899,62802
42953,64059
42966,83375
42994,10290
42996,16077
43002,95357
43026,94837
43027,91859
43033,83817
43035,54155
43058,40479
43072,80670
43085,175955
43091,21184
43098,39709
43100,76643
43112,29355
43123,90041
43129,93423
43131,14768
43135,38954
43136,78778
43147,3916
43174,77633
43176,32296
43212,76869
43215,54938
43225,11268
43234,52990
43241,30643
43246,54356
43274,6347
43275,82100
43277,49889
43282,60462
43324,5491
43333,38331
43351,27601
43383,21310
43405,8065
43426,32487
43427,81712
43429,82015
43432,68147
43442,29751
43460,35194
43461,60723
43464,28351
43472,40682
43492,85379
43494,92081
43519,76898
43521,42556
43552,67389
43554,69073
43586,13525
43636,49700
43637,66944
43640,55489
43651,99318
43680,14956
43688,30569
43704,36244
43720,44186
43726,99530
43738,37765
43753,72801
43763,53497
43767,10451
43773,69869
43781,19048
43789,21239
43804,13285
43817,46013
43833,44864
43845,54962
43859,73334
43870,49823
43874,67374
43880,105878
43900,73074
43903,93956
43920,85250
43959,28448
43973,98237
43976,72971
43981,2469
43982,77349
43993,95987
43994,25283
44006,47403
44019,82502
44023,58656
44025,75577
44053,76385
44077,27915
44098,37383
44112,35159
44117,1021
44127,1143
44128,96825
44140,84843
44144,39869
44150,52207
44158,24451
44169,3197
44171,42377
44175,89426
44176,91594
44177,73965
44185,76575
44187,57161
44202,12398
44216,64652
44231,82031
44251,59995
44255,79826
44258,20398
44261,5948
44281,31328
44283,85519
44299,73545
44302,35047
44310,2660
44312,87909
44314,4995
44329,59234
44339,21797
44349,39611
44355,66975
44369,22593
44376,98186
44387,96734
44412,42759
44433,22482
44436,66664
44443,4920
44454,25422
44463,26243
44469,51760
44477,19811
44485,26928
44527,85615
44531,64546
44540,7094
44563,90305
44588,32292
44601,45665
44609,10945
44614,2031
44615,46032
44623,36777
44628,53346
44629,71373
44659,57920
44662,73530
44666,11566
44667,73731
44685,79731
44701,21965
44721,27723
44725,30870
44732,10041
44734,6896
44750,45600
44757,85383
44790,28219
44800,34961
44816,23393
44826,80866
44828,76107
44837,85462
44848,52755
44853,64090
44864,4361
44881,38489
44883,35802
44896,68516
44916,103559
44926,51902
44932,35004
44967,67103
44978,34118
44992,83282
44999,98918
45003,63008
45007,34051
45013,5326
45028,59171
45040,76188
45042,83491
45043,54603
45053,31784
45058,69932
45074,34792
45084,15309
45141,56158
45142,27577
45143,51884
45157,26885
45159,39509
45169,45998
45181,56176
45193,94608
45200,65093
45223,15281
45231,76953
45264,167766
45297,61591
45340,52586
45361,41833
45372,86495
45376,66498
45383,72747
45389,81660
45395,39233
45400,81741
45414,17087
45418,17117
45420,58613
45429,37405
45440,21258
45445,73449
45494,10921
45508,59148
45510,6321
45524,27877
45539,67817
45545,94577
45558,78301
45559,49131
45580,6760
45582,48859
45609,96369
45612,19321
45619,5506
45629,77132
45639,88004
45641,69790
45648,31904
45659,62791
45663,90109
45684,26727
45689,32335
45696,1469
45707,12709
45711,77566
45735,29386
45736,46697
45749,103054
45750,77445
45766,159677
45775,77921
45777,43684
45778,85825
45781,51437
45785,61882
45795,26858
45796,89336
45803,15630
45814,7988
45818,17426
45820,16332
45823,58596
45825,62808
45834,93261
45851,89018
45852,69851
45891,98576
45900,95471
45905,24745
45919,80327
45922,53833
45932,88700
45942,52138
45950,80202
45967,20297
45988,90463
45992,86652
45995,54040
46026,83477
46033,64675
46037,121870
46039,54610
46041,38243
46045,39443
46061,71099
46070,39709
46076,10804
46096,91260
46097,69032
46100,67169
46116,48872
46137,43598
46144,42172
46168,68780
46175,48546
46191,57427
46194,86649
46210,34040
46218,41423
46235,7209
46244,16748
46252,74969
46279,63768
46281,64365
46300,65151
46302,54714
46315,61882
46324,10496
46350,87217
46355,66415
46370,1399
46372,87606
46376,72285
46378,21877
46418,37793
46431,30782
46435,53731
46448,53701
46452,41573
46455,2780
46457,68936
46481,22198
46486,72593
46503,68820
46517,49788
46528,69810
46539,36885
46564,12736
46579,31150
46582,82126
46583,49901
46613,44040
46617,84331
46633,6362
46638,495
46648,19833
46671,48992
46678,89568
46700,98048
46703,35528
46719,87066
46751,55006
46753,45294
46764,60967
46765,117488
46790,74673
46803,87718
46811,85304
46826,50119
46829,96480
46838,54432
46842,17219
46844,45765
46846,19799
46849,28964
46859,57131
46869,37253
46879,73128
46916,26716
46930,98959
46966,39993
46991,87413
47011,26068
47023,57658
47025,50804
47026,12547
47045,32504
47055,581
47056,90493
47057,85166
47060,80942
47113,86999
47153,15146
47157,98767
47182,7816
47191,79714
47195,29819
47263,1846
47270,58934
47280,58827
47288,91216
47311,61343
47318,10348
47347,54430
47386,19603
47388,68303
47402,26739
47412,46273
47416,70179
47437,16762
47441,12883
47443,40450
47445,3185
47451,45560
47455,85088
47456,52680
47458,51986
47488,70927
47492,78145
47494,53121
47500,108612
47504,74804
47513,9961
47541,89622
47551,64360
47559,39369
47576,86033
47611,91272
47625,37133
47651,68770
47658,35517
47665,20939
47676,71443
47677,3539
47695,25970
47704,84769
47721,50025
47731,32567
47753,58334
47787,61694
47788,82350
47793,7649
47795,56481
47807,10965
47809,6105
47810,97716
47817,39516
47826,2798
47830,46986
47840,49445
47851,3648
47853,74419
47855,93493
47857,36582
47860,121137
47861,180834
47864,84329
47868,12243
47870,89830
47871,87580
47872,66358
47873,40675
47897,76548
47916,4596
47946,18296
47951,99483
47954,44852
47958,51290
47970,19259
47975,78928
47976,43868
47979,19688
48020,26293
48047,59265
48048,76210
48049,30579
48075,26300
48086,31598
48094,13991
48095,43019
48098,97305
48106,5127
48126,88558
48149,36863
48154,92373
48162,43780
48166,54507
48178,75527
48181,88589
48188,48142
48202,89251
48208,44827
48217,3718
48223,16450
48252,5685
48275,25149
48282,1989
48287,82362
48291,11215
48312,32572
48320,90050
48331,91480
48340,67625
48348,30242
48356,13767
48378,99590
48385,419
48386,50852
48396,91584
48405,3359
48406,16682
48407,65486
48419,88500
48425,92872
48429,45263
48438,84796
48441,83405
48448,67631
48452,93327
48467,97479
48495,23354
48496,40209
48500,125166
48513,84909
48517,69088
48539,58022
48540,95116
48556,89083
48557,14381
48562,23847
48563,43372
48570,5867
48573,46140
48578,80740
48593,17384
48616,85406
48623,44459
48625,17740
48631,98107
48639,2306
48645,16402
48655,46412
48661,80640
48663,46182
48671,97811
48672,53015
48673,17840
48674,10503
48693,95706
48703,21347
48716,42596
48732,37519
48736,61887
48737,97947
48748,52510
48768,73844
