A_A,C_B
24924,68060
24930,39013
25007,43322
25008,4647
25021,85937
25031,52275
25042,92792
25049,69112
25050,93988
25061,89286
25064,63007
25065,39669
25104,47432
25110,77950
25115,42514
25167,73959
25174,93053
25201,68493
25210,52639
25224,48795
25228,93319
25236,98289
25247,30289
25259,77813
25264,57851
25267,51182
25275,13368
25283,24992
25287,89785
25301,77125
25313,60275
25317,95677
25329,61380
25332,38415
25342,67700
25346,10431
25350,45241
25361,29767
25385,76935
25390,75298
25391,75934
25406,42048
25419,44071
25421,91370
25429,83122
25431,69985
25435,91031
25451,57032
25460,89448
25462,84444
25465,13637
25490,62672
25495,76089
25514,67229
25525,30579
25532,91974
25543,39272
25553,57655
25575,45770
25589,30569
25594,90954
25623,84776
25625,17981
25626,20123
25664,69929
25671,51744
25678,24508
25680,62307
25691,88338
25699,55050
25711,63477
25713,55989
25716,2760
25722,97207
25737,92978
25738,18242
25750,96843
25775,64263
25802,64618
25807,87990
25838,62479
25839,18895
25843,43972
25846,25578
25854,8278
25862,36464
25871,72598
25873,11341
25878,74023
25884,84128
25887,12871
25890,17091
25893,2733
25906,84815
25923,72182
25941,53675
25953,70156
25984,25831
25992,49401
26005,60028
26015,5311
26065,859
26068,93752
26075,78181
26082,95596
26085,25464
26104,28713
26108,91363
26110,24803
26117,17223
26123,22112
26128,6643
26133,96524
26144,18767
26147,44614
26148,58439
26157,55487
26164,63528
26177,64734
26186,44711
26213,88318
26232,81534
26233,92251
26234,14948
26241,47007
26258,72665
26283,73873
26288,47784
26312,59980
26329,38605
26336,47322
26348,7895
26351,21823
26360,36653
26367,24514
26374,42807
26389,80451
26395,24101
26400,87672
26406,99759
26410,47381
26427,88252
26474,10937
26476,726
26484,56101
26493,83984
26494,65955
26498,64478
26506,77491
26513,79302
26543,64868
26558,69652
26559,12438
26566,31689
26568,46673
26573,48834
26577,42673
26579,38237
26587,52113
26589,68399
26591,53321
26613,38057
26647,43901
26654,89629
26677,88203
26686,70704
26691,96605
26693,19554
26706,8363
26720,14863
26721,8022
26733,84626
26738,50367
26742,5924
26743,15163
26768,8634
26774,26862
26780,25393
26783,48882
26785,35518
26787,98379
26788,5880
26796,97985
26797,41701
26801,25825
26803,71178
26804,18912
26806,53649
26812,62385
26815,3225
26816,61333
26833,88267
26836,82963
26849,41683
26850,72168
26854,23273
26860,63003
26876,18815
26889,37932
26904,5563
26936,9698
26939,42314
26987,29048
26992,53822
26997,67066
26999,87188
27005,71932
27038,92131
27058,62322
27078,9171
27086,11038
27089,96414
27091,17378
27092,49525
27101,72039
27120,72072
27160,36785
27165,9986
27166,81212
27176,65834
27193,25971
27210,87560
27241,34859
27251,46205
27284,74478
27293,24339
27302,50866
27314,86989
27347,67968
27350,3677
27386,43217
27392,82959
27437,29318
27440,71551
27444,83368
27446,7395
27455,79286
27463,30870
27466,80545
27501,94512
27502,2148
27521,83121
27526,27198
27532,80815
27559,78641
27574,71724
27576,5883
27591,19652
27611,69644
27613,47136
27628,62708
27630,66393
27662,99911
27681,89496
27682,77014
27691,42673
27692,62595
27697,97418
27705,87598
27725,48255
27727,15014
27731,63382
27736,55060
27757,26698
27761,57705
27767,41135
27783,31032
27800,37012
27832,26509
27833,94814
27853,67285
27857,62519
27885,75428
27890,67588
27899,80064
27921,62066
27967,16432
27976,66165
27983,67898
27988,70856
27998,73722
28019,31488
28035,18652
28039,17902
28042,98189
28043,81105
28070,80130
28074,47951
28075,26888
28077,41118
28079,45887
28106,9615
28110,69060
28125,83903
28138,16334
28140,64041
28142,30030
28173,39603
28194,23681
28195,36321
28198,59197
28205,39970
28239,46225
28245,28558
28252,44305
28253,85531
28254,44468
28258,74092
28279,27703
28296,70809
28300,43018
28306,73916
28310,92601
28333,51659
28339,56005
28349,73644
28352,58955
28353,41424
28359,51456
28365,81254
28386,11622
28389,70477
28401,13776
28422,50307
28428,36168
28441,18134
28444,17876
28448,27461
28449,10859
28474,76752
28480,68249
28482,78843
28487,39954
28489,51055
28493,52253
28494,70177
28505,81958
28507,39363
28516,3917
28545,51563
28551,89246
28552,61750
28556,85290
28557,44081
28564,94669
28565,42359
28569,70002
28586,56147
28591,70097
28592,92553
28620,17141
28632,91530
28633,38853
28638,53973
28651,74176
28662,1416
28716,85389
28730,61832
28738,66991
28749,8478
28753,4898
28760,6616
28761,86301
28762,76193
28763,93510
28783,4549
28784,11302
28786,54927
28793,44556
28798,61154
28812,48246
28815,64724
28819,38498
28853,31592
28896,43740
28899,71035
28903,56252
28928,5582
28951,93745
28952,3986
28955,46162
28957,83165
28965,26095
28984,10899
28985,7044
28987,33320
28989,53670
29000,87074
29018,27115
29031,74603
29037,44820
29065,73725
29082,44537
29086,55288
29092,68447
29104,33295
29106,68800
29122,12121
29127,60586
29128,52231
29132,2558
29133,45097
29136,32755
29148,70326
29155,29921
29156,5102
29173,1787
29179,17893
29206,7416
29229,54949
29239,66480
29241,52907
29246,37598
29262,63915
29281,29542
29290,1348
29312,78836
29313,40500
29323,37475
29330,21655
29331,52641
29344,18320
29349,68262
29356,45918
29360,67187
29365,64263
29384,78124
29385,78867
29389,58679
29396,15517
29439,87470
29459,1074
29463,33637
29474,13210
29476,30503
29483,3289
29516,96347
29524,30021
29532,54397
29543,65721
29552,55251
29579,22632
29581,56810
29586,66937
29619,47483
29635,49991
29643,19309
29647,47122
29668,29139
29691,36732
29710,92016
29713,8378
29716,76066
29723,30710
29734,21178
29756,25458
29766,4353
29797,49274
29806,49370
29808,6206
29821,78958
29824,5590
29867,30379
29876,95033
29885,42547
29913,24497
29921,49705
29933,17554
29945,60264
29963,51127
29980,95421
29993,55249
30035,97463
30038,61283
30047,70187
30055,30175
30073,40123
30106,75045
30145,19933
30150,77372
30178,42076
30179,30172
30190,26721
30203,10597
30215,3016
30221,26012
30233,39528
30235,86804
30262,78515
30264,87587
30292,48022
30294,28754
30326,57042
30339,26416
30348,6800
30353,41849
30360,69061
30409,48042
30419,10136
30420,28651
30426,93468
30429,18853
30446,47314
30452,82212
30468,7567
30470,67168
30477,64791
30481,25616
30483,63406
30485,96972
30508,41911
30516,81917
30527,11655
30529,11535
30534,37430
30541,76696
30546,46306
30553,95946
30554,92731
30562,83778
30565,71922
30601,25016
30604,75439
30629,23531
30633,41413
30636,74402
30656,85061
30667,29177
30670,63573
30671,57667
30676,63470
30679,12739
30680,7221
30686,97500
30687,68909
30693,61656
30701,26369
30713,88842
30714,42604
30743,64909
30763,28905
30778,2628
30796,35589
30826,69766
30856,94106
30860,26189
30867,30675
30882,15489
30889,88430
30892,81453
30895,29234
30900,26664
30928,67697
30937,66385
30945,3276
30956,44018
30960,59922
30975,12496
30999,88572
31030,28424
31069,19300
31070,30341
31072,62956
31073,44715
31101,53433
31109,21625
31113,27066
31117,21250
31119,22735
31120,3179
31127,50594
31133,48890
31140,6965
31154,16968
31174,22057
31175,11003
31184,69229
31203,20492
31228,36250
31232,44594
31236,42485
31246,67444
31270,10643
31275,66278
31294,16028
31302,25043
31309,46908
31334,30039
31351,96591
31355,28363
31377,11606
31379,57708
31402,16490
31406,79724
31435,54365
31436,17876
31437,87868
31444,82373
31478,42280
31479,27068
31488,94462
31501,1555
31509,82624
31510,19827
31528,93738
31529,43746
31541,97105
31557,10418
31598,29673
31604,31857
31605,88946
31608,54882
31614,98652
31616,89367
31654,97610
31665,82002
31680,62421
31688,14473
31692,93246
31713,62144
31735,14782
31750,89315
31759,78060
31768,68976
31782,74244
31785,9060
31812,93901
31826,31081
31846,89527
31861,4253
31865,70661
31866,14043
31874,53698
31885,59766
31889,47660
31903,94952
31907,97793
31908,830
31917,8707
31931,71157
31933,4705
31941,45583
31952,11647
31967,3028
31968,81350
31978,46175
31997,29032
32029,87676
32032,9779
32035,39562
32054,21868
32088,96065
32101,54462
32119,32371
32124,23071
32125,41873
32145,14881
32165,85683
32170,68073
32179,19051
32184,4367
32187,30101
32196,2669
32204,95202
32213,946
32233,95383
32239,73107
32248,49383
32257,99527
32264,61481
32272,6884
32297,92727
32305,89362
32321,81108
32329,31026
32336,38635
32338,16150
32352,59132
32388,87831
32432,55704
32433,61340
32483,22069
32509,40270
32529,98021
32546,17274
32551,97533
32563,65722
32572,30667
32581,81567
32586,6099
32593,38866
32601,27221
32613,48486
32635,91457
32648,72426
32649,45204
32676,50935
32684,7556
32713,61522
32734,77215
32735,62656
32740,86765
32746,15207
32774,78763
32776,37441
32785,59954
32800,2344
32812,88163
32822,46982
32838,10161
32869,52547
32880,18794
32883,80562
32912,97918
32914,37990
32942,73914
32976,17267
32986,3910
32987,90454
32988,1129
32989,79139
33011,12450
33023,97751
33029,66381
33037,47782
33051,2819
33057,23344
33063,40089
33080,99004
33087,33209
33089,56033
33095,94124
33099,77851
33101,96530
33104,21060
33110,99320
33124,24316
33131,92909
33138,11913
33148,28629
33157,76167
33161,29414
33162,26754
33165,97293
33168,36308
33177,86294
33199,10661
33202,15705
33204,86506
33227,12505
33230,30486
33241,43608
33248,21658
33249,51370
33251,89064
33282,87855
33283,57122
33322,78613
33324,6643
33327,239
33336,70901
33338,28520
33371,17987
33378,83699
33401,35261
33405,97152
33406,31258
33414,43336
33417,73514
33423,91892
33430,12015
33431,33357
33435,89228
33471,92975
33516,72428
33523,60309
33535,80949
33547,85229
33552,51453
33553,99
33573,72490
33593,96217
33597,37389
33645,39888
33666,82659
33672,2826
33673,66967
33707,63204
33709,23262
33716,28881
33725,62114
33758,46875
33784,68711
33787,71447
33791,46659
33839,880
33845,17415
33855,25867
33862,45117
33879,54456
33886,68102
33926,61346
33929,26478
33934,80569
33939,75060
33946,82321
33955,33093
33969,70485
33998,15232
34006,35763
34007,27641
34019,15826
34053,68403
34067,27379
34071,58289
34107,76386
34135,6556
34138,31120
34148,76129
34166,87031
34177,83678
34192,46385
34204,78231
34206,72349
34252,92711
34255,36784
34300,67319
34306,45388
34310,87828
34343,40911
34349,78060
34362,5453
34371,68643
34373,47510
34385,68069
34395,84492
34401,10806
34404,52992
34407,83859
34417,88391
34420,42256
34435,1322
34460,15125
34483,98195
34494,18906
34504,96080
34512,86323
34516,3927
34517,17178
34551,36692
34560,75813
34563,80753
34564,67399
34584,49096
34605,83290
34616,90479
34623,17617
34626,42113
34632,15519
34639,52531
34647,16164
34657,28993
34680,67631
34683,49720
34684,8323
34698,67429
34702,32837
34707,73231
34717,27877
34721,65176
34727,91212
34756,33661
34759,87948
34783,19797
34808,82911
34828,86852
34839,25372
34840,30299
34846,51835
34848,50252
34868,24121
34874,4654
34890,49037
34910,28893
34911,28723
34925,63250
34936,48995
34957,82709
34961,54413
34962,43174
34963,12959
34967,31773
34973,45499
34981,15064
34990,75409
35004,70461
35017,94383
35035,3110
35047,63006
35051,66109
35056,31684
35074,76843
35079,97873
35094,89965
35103,25382
35130,58440
35149,81963
35174,78749
35179,6049
35185,78228
35196,94691
35200,75109
35201,69968
35209,78107
35234,18039
35235,58342
35247,49669
35254,43750
35265,29303
35269,99488
35295,71392
35314,20945
35322,47038
35323,28407
35326,87447
35332,56201
35350,35311
35352,64913
35356,30485
35362,92143
35367,18272
35392,38426
35394,87504
35397,76983
35402,48313
35404,77222
35423,14319
35425,60168
35432,65068
35436,6300
35458,76032
35462,12492
35475,18483
35486,85225
35515,55886
35536,93509
35547,70070
35549,39077
35556,39971
35578,30873
35591,80228
35595,95676
35601,59314
35607,4678
35626,31690
35629,79190
35632,27073
35648,22162
35661,34056
35663,8626
35670,45463
35676,44492
35682,82941
35697,88347
35699,4018
35707,76911
35712,14110
35725,92857
35731,90703
35734,43064
35737,99956
35739,5237
35740,48030
35756,5517
35772,4418
35775,47686
35810,6821
35833,83083
35841,11388
35866,30121
35888,51353
35890,48062
35893,75268
35936,93909
35965,26708
35988,84850
35990,23344
36005,60862
36008,94835
36009,47269
36013,96792
36025,739
36030,20413
36078,66292
36079,49661
36082,78610
36085,92710
36089,26380
36090,955
36108,21653
36110,79628
36112,70802
36114,31712
36130,10322
36141,60450
36144,12739
36146,5687
36151,86992
36153,62929
36156,78185
36158,70454
36161,74095
36163,70907
36167,60920
36168,96440
36215,83506
36220,63286
36229,9930
36245,87996
36249,50577
36251,52588
36258,8103
36275,49290
36286,58081
36291,89644
36297,81595
36304,36136
36360,35950
36380,42314
36382,14829
36386,35161
36390,66580
36393,5779
36396,84245
36418,98264
36439,85408
36440,53585
36444,19503
36447,77439
36517,27048
36525,38988
36537,37106
36549,87155
36550,62313
36553,26647
36566,66331
36578,22926
36583,61280
36589,4667
36590,9481
36592,81031
36594,58748
36597,93664
36606,87585
36610,13548
36612,31313
36614,63192
36624,1498
36629,17999
36633,33206
36641,39991
36651,97119
36653,65778
36655,87632
36660,37664
36662,15479
36670,55575
36680,38975
36682,51915
36687,95883
36699,11937
36714,45654
36717,53824
36731,83602
36736,16180
36742,50721
36749,68148
36782,73685
36789,47990
36801,62959
36804,9902
36806,13642
36832,53157
36846,55933
36858,54069
36887,95450
36913,46278
36914,48693
36918,27855
36929,90895
36978,81881
36985,1438
37000,6510
37001,20102
37038,62767
37050,29030
37076,40492
37081,34225
37088,79665
37104,62945
37110,73733
37136,80470
37139,10484
37176,53811
37181,39778
37223,83152
37266,64090
37272,65980
37293,40240
37307,20160
37314,41282
37318,73697
37330,74403
37336,71571
37355,5427
37423,99302
37433,3294
37444,61214
37460,3637
37462,75363
37466,49815
37481,72649
37482,73686
37489,49426
37490,35734
37509,7425
37530,92224
37536,83093
37541,78403
37568,99620
37569,76345
37572,61073
37598,67456
37618,83085
37625,3489
37629,5863
37634,73506
37646,90271
37653,71550
37684,7728
37690,74409
37697,3469
37708,5452
37729,70233
37732,32043
37733,23381
37736,93910
37759,68850
37761,35194
37764,63511
37772,62322
37775,61912
37788,26993
37807,27808
37837,82137
37840,65453
37928,80175
37951,847
37955,72309
37956,10775
37958,20908
37964,5641
37973,19249
37987,31789
38022,84362
38032,8256
38056,67951
38058,20570
38081,91997
38083,79264
38094,33513
38095,60121
38101,93810
38127,78368
38130,457
38139,29738
38144,4156
38168,33821
38169,32507
38178,46640
38184,23323
38202,78108
38221,40451
38224,10725
38264,34758
38278,11009
38305,71409
38317,11181
38321,84444
38335,45056
38338,960
38339,32305
38341,36750
38349,81122
38375,80965
38379,80707
38392,27225
38410,96576
38412,87366
38416,21142
38420,89275
38421,15717
38422,16363
38437,50556
38447,19167
38453,6758
38463,26203
38478,9241
38486,49940
38502,9910
38514,28554
38518,84912
38521,2660
38531,48349
38532,63223
38539,2281
38549,97961
38558,15394
38559,47859
38563,32352
38565,92337
38566,58686
38567,87409
38568,93907
38581,30898
38597,1000
38606,19639
38608,28587
38624,22433
38629,78950
38638,44560
38640,69073
38641,49464
38643,47372
38661,93949
38676,76215
38681,36751
38682,39166
38692,78279
38701,51811
38717,22568
38737,33594
38740,4400
38743,30855
38759,88462
38768,44870
38772,32224
38775,7097
38776,94740
38789,36770
38795,3183
38799,46886
38835,82196
38869,54039
38874,44171
38878,16777
38889,11521
38905,93780
38907,14259
38912,46937
38936,89044
38942,78449
38957,28880
38959,53548
38963,46408
38965,52201
38996,86006
39007,14876
39024,92155
39028,11335
39052,92836
39082,96839
39084,67642
39109,17908
39124,14415
39128,37558
39131,38632
39138,55247
39143,88791
39179,87414
39182,4805
39192,8951
39208,16564
39215,77324
39218,38397
39219,93300
39224,76217
39235,55623
39241,16818
39278,36132
39286,79471
39299,5883
39305,26461
39312,20286
39329,35576
39342,68106
39357,79201
39358,32328
39364,28604
39372,21245
39373,26840
39388,54690
39389,32718
39390,52331
39399,41713
39401,88642
39402,64913
39405,85690
39406,30926
39428,12803
39475,45650
39486,61583
39488,54974
39493,2569
39505,36862
39508,90178
39514,38151
39545,87505
39549,40263
39552,62978
39562,55079
39565,83642
39580,69637
39589,58133
39591,51300
39598,75443
39601,48620
39604,23593
39605,77720
39606,74064
39609,17136
39613,66139
39619,35555
39631,41450
39638,61958
39641,7019
39643,16774
39648,9737
39650,48504
39654,7234
39658,14316
39660,29956
39673,38791
39680,70108
39681,7840
39693,89414
39702,13901
39718,4506
39730,47142
39743,34833
39752,90217
39758,44572
39775,51896
39791,59959
39794,8096
39802,32926
39818,76166
39820,8209
39822,84246
39825,85429
39829,43079
39832,72049
39834,10828
39852,3535
39861,94155
39867,84226
39871,35440
39880,43791
39886,116
39898,75130
39902,35710
39908,4150
39919,38035
39920,14192
39950,21111
39959,35222
39964,22327
39989,48973
39995,16022
40000,40956
40006,19935
40009,3941
40016,49703
40025,67794
40034,82300
40041,27321
40048,30264
40076,82201
40118,8278
40124,73290
40141,14442
40153,9965
40164,98542
40165,93079
40171,94541
40175,96139
40187,56572
40198,60277
40202,76750
40211,91620
40222,41507
40230,78375
40231,96721
40239,6860
40244,57346
40261,63347
40280,71847
40325,96147
40347,52278
40362,12140
40385,56515
40387,44039
40430,84746
40444,9938
40454,1315
40464,36821
40465,74219
40481,27946
40483,71365
40496,5436
40497,83367
40509,97987
40510,25580
40514,5997
40534,35622
40537,50776
40554,10799
40558,89418
40559,38009
40560,14943
40574,59782
40583,89324
40597,94926
40602,63421
40608,70404
40644,9610
40657,42412
40694,92143
40697,82468
40699,37858
40707,36608
40710,44078
40713,59801
40722,80599
40730,89012
40754,50587
40757,72536
40766,75728
40794,2718
40795,74891
40810,3738
40815,74913
40838,50858
40839,60600
40846,41882
40855,61562
40889,94604
40907,73485
40913,2502
40930,52991
40931,45775
40938,17771
40978,94598
40981,74591
40982,52281
40984,20676
40996,51306
41003,14630
41024,68841
41032,57325
41050,36857
41062,61800
41071,26537
41077,44727
41082,56566
41085,97048
41098,9507
41106,25977
41114,55466
41115,76398
41121,17056
41126,17815
41138,80965
41152,66482
41153,44015
41162,17266
41185,4168
41187,59334
41190,78798
41191,31003
41197,82899
41199,51451
41200,3590
41211,11272
41225,42908
41231,80388
41234,73261
41253,40030
41279,92706
41291,21649
41302,65668
41314,18373
41315,62276
41336,70566
41339,28724
41352,94597
41371,71400
41374,67945
41380,8078
41381,94948
41407,10634
41408,60039
41418,62490
41420,52303
41435,60672
41458,87965
41463,24909
41469,46037
41475,1302
41478,81113
41479,36572
41491,48969
41499,22309
41506,64916
41510,58861
41518,988
41541,54556
41542,67063
41550,61725
41555,7696
41567,97176
41588,84500
41599,94047
41613,81720
41619,90270
41622,39097
41630,37115
41644,7813
41652,5076
41660,42460
41677,66023
41678,83708
41690,76731
41691,73488
41704,48469
41722,49525
41731,6733
41735,31653
41750,64423
41777,69824
41781,33075
41800,63501
41827,12891
41835,78936
41836,66328
41841,31542
41852,31391
41853,29699
41855,49415
41856,75632
41872,64612
41876,42068
41895,25666
41899,89915
41907,82260
41912,42694
41920,23297
41931,87863
41932,46992
41941,15137
41949,15238
41950,58320
41953,27745
41955,47813
41970,88803
41971,25582
41988,2968
42008,52704
42012,76402
42033,87635
42035,62155
42036,67591
42050,41522
42077,59776
42080,90418
42086,39994
42087,22672
42097,57485
42126,52024
42137,96547
42170,79686
42171,28582
42186,92843
42188,16194
42192,64545
42195,84390
42197,7460
42206,33050
42207,75972
42210,37606
42231,37315
42241,91650
42243,84691
42248,24239
42250,48330
42274,86322
42304,31149
42329,33553
42345,42861
42351,5408
42352,52574
42369,37871
42371,921
42372,40201
42377,44925
42385,86015
42395,80136
42411,72704
42412,56792
42417,81637
42446,73689
42458,98832
42465,92614
42467,53592
42505,58
42507,42585
42530,93733
42550,30185
42551,99435
42552,70417
42565,55897
42570,80613
42571,84273
42575,45113
42588,32059
42590,54434
42598,77041
42612,94391
42619,79701
42628,13691
42638,19701
42642,61825
42646,58016
42661,33028
42662,74643
42666,44873
42670,68339
42685,96453
42699,27843
42713,13375
42729,57396
42743,46797
42757,60838
42760,16492
42780,88318
42788,11777
42801,7238
42813,72102
42845,5172
42872,57766
42874,93632
42886,15260
42889,58484
42900,99077
42912,44772
42916,27437
42928,74810
42972,98263
42973,68110
42982,79997
42989,21450
42993,60394
42994,44636
43000,791
43015,59070
43027,16769
43049,69774
43080,87834
43082,13504
43084,12718
43088,95969
43090,70362
43111,75662
43132,41939
43161,58230
43192,88286
43196,73421
43206,77404
43215,85129
43218,69607
43235,66738
43251,21085
43260,50846
43262,28476
43274,95743
43279,14898
43281,41924
43283,93684
43302,74297
43305,18041
43309,97425
43318,1512
43319,64096
43324,40349
43340,56402
43347,90650
43389,99981
43393,18490
43400,84239
43425,80869
43432,15072
43439,78879
43480,1275
43483,30386
43484,30380
43486,25478
43502,44106
43507,45128
43518,58649
43524,85986
43545,14048
43558,19593
43560,75565
43564,33126
43601,74450
43603,34128
43624,28796
43668,25880
43681,79542
43699,17534
43707,15550
43721,28632
43736,98150
43741,48686
43744,20032
43751,92836
43754,25514
43765,68054
43783,68974
43786,85154
43803,70828
43817,13961
43825,78317
43826,42427
43835,62377
43840,69655
43841,70684
43843,67331
43844,74695
43853,4240
43860,66990
43880,35459
43900,33451
43910,92434
43912,23784
43915,46879
43916,55847
43934,22307
43950,40615
43963,17296
43981,12652
43994,49109
43996,32004
44022,73684
44033,25524
44036,65759
44047,55866
44054,6000
44058,24695
44059,95215
44061,43133
44077,49148
44084,23445
44085,92721
44092,34251
44093,6421
44095,4907
44098,78927
44103,81959
44107,76986
44111,66297
44133,3206
44150,12002
44154,23220
44157,30374
44168,49063
44182,24364
44185,3192
44193,5141
44194,3306
44215,53557
44235,94285
44237,25442
44250,91569
44254,80142
44264,88949
44269,56692
44278,56274
44284,37265
44287,46610
44304,22121
44319,68837
44327,71747
44350,1730
44359,21848
44362,1864
44367,65520
44432,18260
44434,90776
44450,39610
44458,51751
44468,40229
44485,9941
44493,13533
44497,27925
44502,46274
44506,73506
44523,5178
44527,25144
44528,51248
44539,93570
44542,99366
44560,46492
44563,86342
44566,2346
44571,74898
44580,20811
44582,45385
44588,33579
44597,2557
44603,75177
44604,58779
44605,4216
44623,43795
44626,89542
44631,44621
44639,55189
44647,64644
44648,42131
44653,17783
44693,99375
44700,29488
44710,49851
44713,85752
44725,21122
44729,21211
44745,83651
44749,51363
44768,45241
44781,64499
44788,53622
44790,23789
44807,13888
44811,53028
44828,308
44829,47725
44839,14629
44853,54202
44857,47550
44889,51551
44918,51799
44928,78026
44929,22669
44942,48217
44948,70126
44965,19141
44970,36885
44981,83340
44993,58151
45015,30193
45020,24407
45047,33825
45048,73484
45052,81694
45064,57560
45065,57696
45071,71474
45097,88080
45110,61444
45129,63416
45136,33665
45137,3327
45153,12386
45164,87738
45165,3968
45168,61192
45172,16313
45191,4464
45197,19659
45204,25705
45228,92671
45256,51862
45276,16755
45279,90823
45281,54061
45304,87424
45330,49562
45341,40774
45346,83713
45361,22138
45365,22879
45369,83324
45403,70464
45414,98860
45423,63340
45430,58614
45441,39905
45460,69711
45484,57020
45491,40772
45492,16923
45528,40774
45545,17415
45552,28586
45554,5193
45564,3314
45570,40270
45606,80631
45610,35686
45615,36339
45628,71954
45642,45155
45643,93119
45645,92983
45647,42888
45658,21871
45670,13225
45674,53086
45692,80064
45699,8428
45701,70879
45702,20776
45710,67914
45713,14742
45718,26611
45721,94191
45732,45264
45733,3691
45742,63575
45753,2256
45763,38646
45772,96946
45782,41284
45798,25311
45800,47735
45820,83573
45833,14756
45835,64202
45859,49867
45860,94643
45872,37861
45883,1997
45891,36803
45893,75385
45901,64259
45902,28992
45903,93709
45930,45686
45936,53068
45937,82407
45943,70951
45953,59946
45956,53653
45962,60187
45969,86529
45973,98606
45987,98774
45997,12908
45999,67283
46001,30072
46030,96389
46051,16555
46055,55263
46069,79328
46082,56406
46092,30163
46095,67670
46102,41123
46110,92674
46117,48650
46182,4486
46185,30036
46191,69952
46213,88249
46243,80827
46262,25735
46285,76341
46298,52801
46300,23041
46322,39968
46326,67924
46341,36819
46342,52833
46346,97630
46351,18543
46371,28814
46409,563
46422,27792
46426,6785
46434,13070
46436,67408
46444,29355
46448,99939
46461,99476
46462,1155
46463,98917
46468,46842
46476,36696
46482,17380
46492,94772
46504,91174
46531,38552
46545,31625
46554,12315
46563,41148
46582,26766
46592,48800
46593,38709
46594,33705
46618,75833
46621,44348
46647,24358
46649,93882
46661,98739
46673,97842
46675,64330
46687,75240
46692,81868
46703,80303
46737,18311
46740,63429
46752,37876
46755,70642
46790,10673
46793,79845
46797,93648
46801,49420
46805,66172
46827,4151
46830,75031
46838,18258
46857,40977
46906,74655
46907,17477
46909,92582
46916,31655
46921,69529
46936,22784
46961,95590
46963,43946
46987,76458
47001,1538
47010,67219
47041,27333
47046,92367
47051,85775
47056,44214
47060,39826
47062,80301
47063,76773
47066,15675
47068,5506
47069,5150
47077,12326
47084,86898
47116,70559
47120,38700
47142,65813
47146,99712
47149,41775
47156,12928
47186,72333
47187,25937
47201,14872
47205,18239
47208,84293
47237,78219
47240,598
47245,71421
47256,92847
47260,58275
47265,74513
47266,87908
47269,26957
47272,27315
47292,76100
47306,24018
47310,51852
47313,89243
47317,64160
47320,6118
47351,56417
47353,9752
47369,21487
47396,75108
47409,25231
47422,37345
47423,41382
47465,393
47472,56519
47474,88336
47480,14394
47493,1047
47496,48447
47501,33478
47503,40888
47518,81820
47521,89267
47524,57063
47525,21708
47548,59899
47577,42652
47603,19373
47610,33137
47612,88021
47640,81882
47643,61952
47646,45032
47681,80054
47682,52328
47700,2385
47712,1212
47718,43223
47732,4665
47733,10829
47739,9921
47746,74096
47784,28449
47799,37637
47806,58085
47823,94969
47833,11295
47835,29236
47845,15661
47848,31755
47851,80640
47860,46481
47870,55709
47873,67775
47891,96112
47906,11002
47911,83200
47914,78517
47928,93114
47958,87914
47961,73494
47962,41108
47968,31873
47969,73664
47979,27455
47991,2878
48010,59995
48018,62724
48028,13630
48038,91182
48046,82016
48052,25254
48059,51894
48061,1671
48062,31677
48079,58070
48092,79716
48095,74051
48097,81056
48099,78971
48118,27337
48122,15204
48127,54058
48145,76866
48146,37598
48159,37575
48166,68268
48173,92445
48195,51289
48200,42317
48202,76282
48210,76636
48220,65573
48225,65840
48228,91254
48242,75750
48287,53055
48294,34854
48305,39948
48316,98125
48321,97969
48323,53959
48325,68599
48355,49908
48362,86466
48370,12539
48374,65767
48380,82781
48389,80831
48398,16434
48404,22567
48416,25719
48423,46892
48433,18547
48441,93091
48443,57398
48449,89507
48455,28151
48466,74628
48480,84056
48484,54224
48529,93912
48535,13012
48539,90036
48548,80612
48574,54205
48592,16646
48593,73982
48594,59382
48603,44033
48618,49281
48631,87743
48649,36453
48660,34080
48664,81856
48667,76394
48668,91511
48671,40230
48673,66700
48680,65935
48687,90803
48688,52445
48690,88132
48695,55183
48700,34760
48709,99023
48719,57595
48726,15812
48732,41634
48761,44204
48763,53761
48775,57014
48786,74875
48789,85135
48795,92183
48805,3233
48811,19576
48816,81229
48825,33987
48826,70784
48853,82601
48855,90364
48856,85692
48866,36141
48868,34093
48871,45670
48884,83351
48891,66588
48922,43766
48939,93085
48945,15860
48953,31970
48954,78648
48966,8707
48971,60089
48984,59739
48985,57065
49028,43067
49031,83229
49037,16153
49039,79034
49042,14998
49043,44695
49046,77309
49050,95912
49051,3705
49063,51234
49076,30685
49079,45131
49099,83889
49108,96228
49120,38681
49123,5684
49125,17979
49133,85754
49135,14574
49144,58240
49149,87459
49153,2569
49156,79728
49171,80509
49176,75660
49195,64951
49198,65620
49205,49300
49217,52864
49219,98414
49221,48443
49224,87645
49229,18843
49263,50171
49272,83366
49278,65519
49295,8817
49307,18984
49312,6988
49313,71449
49321,94110
49324,26695
49355,41902
49368,26390
49371,23658
49374,427
49382,14020
49383,48369
49384,7847
49385,64059
49388,62522
49391,3050
49412,95856
49416,64026
49418,86615
49422,34260
49428,41828
49434,38414
49450,62874
49464,84509
49484,51201
49485,11806
49487,15418
49488,31904
49515,26940
49525,13565
49537,99742
49547,82174
49562,34655
49574,49644
49584,36911
49598,28753
49608,51518
